tick,active_gpu_count,active_cpu_cores,active_mem_gib
0,3.0,36.0,360.0
1,3.0,36.0,360.0
2,4.0,44.0,400.0
3,4.0,44.0,400.0
4,4.0,44.0,400.0
5,4.0,44.0,400.0
6,2.0,20.0,160.0
7,1.0,8.0,40.0
8,1.0,8.0,40.0
9,1.0,8.0,40.0
10,1.0,8.0,40.0
11,1.0,8.0,40.0
12,1.0,8.0,40.0
13,1.0,8.0,40.0
14,1.0,8.0,40.0
15,1.0,8.0,40.0
16,1.0,8.0,40.0
17,3.0,24.0,120.0
18,3.0,24.0,120.0
19,3.0,24.0,120.0
20,3.0,24.0,120.0
21,3.0,24.0,120.0
22,3.0,24.0,120.0
23,3.0,24.0,120.0
24,3.0,24.0,120.0
25,3.0,24.0,120.0
26,3.0,24.0,120.0
27,3.0,24.0,120.0
28,3.0,24.0,120.0
29,3.0,24.0,120.0
30,3.0,24.0,120.0
31,3.0,24.0,120.0
32,3.0,24.0,120.0
33,3.0,24.0,120.0
34,3.0,24.0,120.0
35,3.0,24.0,120.0
36,3.0,24.0,120.0
37,3.0,24.0,120.0
38,3.0,24.0,120.0
39,5.0,44.0,200.0
40,5.0,44.0,200.0
41,5.0,44.0,200.0
42,4.0,36.0,160.0
43,3.0,28.0,120.0
44,3.0,28.0,120.0
45,3.0,28.0,120.0
46,3.0,28.0,120.0
47,3.0,28.0,120.0
48,3.0,28.0,120.0
49,3.0,28.0,120.0
50,3.0,28.0,120.0
51,3.0,28.0,120.0
52,3.0,28.0,120.0
53,3.0,28.0,120.0
54,3.0,28.0,120.0
55,3.0,28.0,120.0
56,3.0,28.0,120.0
57,3.0,28.0,120.0
58,3.0,28.0,120.0
59,3.0,28.0,120.0
60,3.0,28.0,120.0
61,3.0,28.0,120.0
62,3.0,28.0,120.0
63,3.0,28.0,120.0
64,3.0,28.0,120.0
65,2.0,20.0,80.0
66,2.0,20.0,80.0
67,2.0,20.0,80.0
68,2.0,20.0,80.0
69,2.0,20.0,80.0
70,2.0,20.0,80.0
71,2.0,20.0,80.0
72,2.0,20.0,80.0
73,2.0,20.0,80.0
74,2.0,20.0,80.0
75,2.0,20.0,80.0
76,2.0,20.0,80.0
77,2.0,20.0,80.0
78,2.0,20.0,80.0
79,2.0,20.0,80.0
80,2.0,20.0,80.0
81,2.0,20.0,80.0
82,2.0,20.0,80.0
83,2.0,20.0,80.0
84,2.0,20.0,80.0
85,2.0,20.0,80.0
86,2.0,20.0,80.0
87,2.0,20.0,80.0
88,2.0,20.0,80.0
89,2.0,20.0,80.0
90,2.0,20.0,80.0
91,2.0,20.0,80.0
92,2.0,20.0,80.0
93,2.0,20.0,80.0
94,3.0,28.0,120.0
95,4.0,36.0,160.0
96,4.0,36.0,160.0
97,4.0,36.0,160.0
98,4.0,36.0,160.0
99,4.0,36.0,160.0
100,4.0,36.0,160.0
101,4.0,36.0,160.0
102,4.0,36.0,160.0
103,4.0,36.0,160.0
104,4.0,36.0,160.0
105,4.0,36.0,160.0
106,4.0,36.0,160.0
107,4.0,36.0,160.0
108,4.0,36.0,160.0
109,4.0,36.0,160.0
110,4.0,36.0,160.0
111,4.0,36.0,160.0
112,5.0,44.0,200.0
113,6.0,52.0,240.0
114,6.0,52.0,240.0
115,6.0,52.0,240.0
116,6.0,52.0,240.0
117,6.0,52.0,240.0
118,6.0,52.0,240.0
119,6.0,52.0,240.0
120,6.0,52.0,240.0
121,6.0,52.0,240.0
