tick,spot_gpus_arriving,spot_avg_duration,hp_gpus_arriving,hp_avg_duration
0,0.0,0.0,43.0,17236.97635605007
1,0.0,0.0,17.0,1189.952380952381
2,0.0,0.0,19.0,265.8857142857143
3,0.0,0.0,20.0,689.0
4,0.0,0.0,32.0,2.6
5,0.0,0.0,22.0,8.285714285714286
6,0.0,0.0,29.0,352.9
7,0.0,0.0,11.0,252.11111111111111
8,0.0,0.0,14.0,875.6666666666666
9,0.0,0.0,60.0,396.625
10,0.0,0.0,23.0,132.58333333333334
11,0.0,0.0,20.0,184.05
12,0.0,0.0,4.0,207.95238095238096
13,0.0,0.0,38.0,188.08695652173913
14,0.0,0.0,15.0,123.1
15,0.0,0.0,12.0,15.454545454545455
16,0.0,9.0,9.0,105.25
17,0.0,0.0,29.0,139.68
18,0.0,0.0,13.0,304.8421052631579
19,0.0,0.0,36.0,656.75
20,0.0,0.0,25.0,17.142857142857142
21,0.0,0.0,15.0,764.125
22,0.0,0.0,11.4,3.3333333333333335
23,0.0,0.0,5.0,2490.8571428571427
24,0.0,0.0,30.0,5.2
25,0.0,0.0,19.0,2.5
26,0.0,0.0,22.0,1249.0
27,0.0,0.0,4.0,128.85714285714286
28,0.0,0.0,10.0,3.5714285714285716
29,0.0,0.0,15.0,7.333333333333333
30,0.0,0.0,28.0,4.333333333333333
31,0.0,0.0,10.0,2.6
32,0.0,0.0,6.0,408.85714285714283
33,0.0,0.0,4.0,2.25
34,0.0,0.0,5.0,4.2
35,0.0,0.0,9.0,96.5
36,0.0,0.0,20.0,1363.3333333333333
37,0.0,0.0,12.0,3049.125
38,0.0,0.0,8.0,2.5
39,0.0,0.0,10.0,2.8333333333333335
40,0.0,0.0,12.0,4.333333333333333
41,0.0,0.0,2.0,3.125
42,0.0,0.0,5.0,2.0
43,0.0,0.0,7.0,4.2
44,0.0,0.0,10.0,2.0
45,0.0,0.0,9.0,777.4705882352941
46,0.0,0.0,20.0,200.08
47,0.0,0.0,6.0,2436.1
48,0.0,0.0,16.0,6977.857142857143
49,0.0,0.0,6.0,4.0
50,0.0,0.0,7.0,4.5
51,0.0,0.0,8.0,2.5
52,0.0,0.0,10.0,141.45833333333334
53,0.0,0.0,13.0,454.4230769230769
54,0.0,0.0,8.0,1292.0384615384614
55,0.0,0.0,5.0,196.46153846153845
56,0.0,0.0,7.0,101.08333333333333
57,0.0,0.0,10.0,302.40909090909093
58,0.0,0.0,4.0,214.2
59,0.0,0.0,6.0,111.12
60,0.0,0.0,8.0,178.45833333333334
61,0.0,0.0,6.0,1458.0344827586207
62,0.0,0.0,5.0,3.6
63,0.0,0.0,5.0,2786.1666666666665
64,0.0,0.0,9.0,3.0
65,0.0,0.0,5.0,2.0
66,0.0,0.0,7.0,181.79166666666666
67,0.0,0.0,10.0,107.34615384615384
68,0.0,0.0,7.0,346.22222222222223
69,0.0,0.0,10.0,1290.34375
70,0.0,0.0,8.0,382.57142857142856
71,0.0,0.0,10.0,365.62068965517244
72,0.0,0.0,8.0,1108.2083333333333
73,0.0,0.0,4.0,287.9642857142857
74,0.0,0.0,7.0,260.35
75,0.0,0.0,6.0,8481.25
76,0.0,0.0,10.0,1740.9
77,0.0,0.0,9.0,519.40625
78,0.0,0.0,5.0,5097.138461538461
79,0.0,0.0,6.0,1883.5
80,0.0,0.0,7.0,5919.666666666667
81,0.0,0.0,7.0,3.0
82,0.0,0.0,5.0,2.7777777777777777
83,0.0,0.0,52.0,1064.1666666666667
84,0.0,0.0,22.0,1.5
85,0.0,0.0,12.0,2.5
86,0.0,0.0,23.0,44.416666666666664
87,0.0,0.0,5.0,457.4166666666667
88,0.0,0.0,9.0,2.6
89,0.0,0.0,4.0,1327.6
90,0.0,0.0,57.0,722.639344262295
91,0.0,0.0,6.0,510.56
92,0.0,0.0,8.0,437.5
93,0.0,0.0,14.0,174.28
94,0.0,0.0,70.0,19.666666666666668
95,0.0,0.0,3.0,318.2142857142857
96,0.0,0.0,7.0,74.13636363636364
97,0.0,0.0,27.0,296.4074074074074
98,0.0,0.0,28.0,980.3214285714286
99,0.0,0.0,30.0,12.375
100,0.0,0.0,17.0,78.95238095238095
101,0.0,0.0,6.0,1334.1785714285713
102,0.0,0.0,102.0,2811.777777777778
103,0.0,0.0,21.0,120.26086956521739
104,0.0,0.0,5.0,137.32142857142858
105,0.0,0.0,17.0,90.13636363636364
106,0.0,0.0,30.0,314.09090909090907
107,0.0,0.0,26.0,167.78571428571428
108,0.0,0.0,23.0,2782.0
109,0.0,0.0,20.0,224.12
110,0.0,0.0,22.0,183.7826086956522
111,0.0,0.0,28.0,275.53846153846155
112,0.0,0.0,23.0,90.21428571428571
113,0.0,0.0,26.0,1259.9310344827586
114,0.0,0.0,26.0,1266.16
115,0.0,0.0,60.0,117.96153846153847
116,0.0,0.0,131.0,332.6666666666667
117,0.0,0.0,18.0,166.17241379310346
118,0.0,0.0,8.0,172.29166666666666
119,0.0,0.0,7.0,202.40540540540542
120,0.0,0.0,8.0,259.3478260869565
121,0.0,0.0,4.0,334.55555555555554
122,0.0,0.0,11.0,192.30434782608697
123,0.0,0.0,19.0,363.675
124,0.0,0.0,112.0,208.78787878787878
125,0.0,0.0,27.0,551.741935483871
126,0.0,0.0,4.0,10.733333333333333
127,0.0,0.0,6.0,206.5
128,0.0,0.0,5.0,3048.3636363636365
129,0.0,0.0,16.0,19.1
130,0.0,0.0,4.0,6.428571428571429
131,0.0,0.0,105.0,2509.15
132,0.0,0.0,11.0,7514.066666666667
133,0.0,0.0,26.0,96.7
134,0.0,0.0,27.0,198.75
135,0.0,0.0,8.0,105.28571428571429
136,0.0,0.0,9.0,249.9375
137,0.0,0.0,6.0,5445.413793103448
138,0.0,0.0,37.0,2.0
139,0.0,0.0,19.0,17.933333333333334
140,0.0,0.0,26.0,513.7619047619048
141,0.0,0.0,1410.0,23856.7
142,0.0,0.0,7.0,4054.133333333333
143,0.0,0.0,13.0,13.166666666666666
144,0.0,0.0,18.0,5.5
145,0.0,0.0,131.0,201.65
146,0.0,0.0,153.0,2016.842105263158
147,0.0,0.0,243.0,9.333333333333334
148,0.0,0.0,181.0,294.4166666666667
149,0.0,0.0,77.0,2420.0
150,0.0,0.0,22.0,64.93333333333334
151,0.0,0.0,24.0,21.727272727272727
152,0.0,0.0,27.0,251.0
153,0.0,0.0,33.0,2.8
154,0.0,0.0,26.0,3.4
155,0.0,0.0,7.0,1227.6363636363637
156,0.0,0.0,14.0,281.5625
157,0.0,0.0,9.0,3.4285714285714284
158,0.0,0.0,7.0,70.9
159,0.0,0.0,20.0,322.09090909090907
160,0.0,0.0,20.0,169.86363636363637
161,0.0,0.0,28.0,103.75
162,0.0,0.0,14.0,3.625
163,0.0,0.0,35.0,1220.4285714285713
164,0.0,0.0,25.0,1374.9411764705883
165,0.0,0.0,26.0,61.53846153846154
166,0.0,0.0,28.0,2.6
167,0.0,0.0,38.0,2728.8
168,0.0,0.0,32.0,15.7
169,0.0,0.0,28.0,2560.375
170,0.0,0.0,22.0,603.4615384615385
171,0.0,0.0,24.0,2348.8695652173915
172,0.0,0.0,35.0,1007.875
173,0.0,0.0,11.0,100.23076923076923
174,0.0,0.0,7.0,2108.909090909091
175,0.0,0.0,20.0,2153.391304347826
176,0.0,0.0,27.0,26.166666666666668
177,0.0,0.0,38.0,3.619047619047619
178,0.0,0.0,22.0,202.85714285714286
179,0.0,0.0,22.0,3315.1
180,0.0,0.0,23.0,281.85185185185185
181,0.0,0.0,25.0,56.76923076923077
182,0.0,0.0,25.0,811.0
183,0.0,0.0,27.0,53.35
184,0.0,0.0,43.0,45.51851851851852
185,0.0,0.0,26.0,5.1875
186,0.0,0.0,40.0,399.32
187,0.0,0.0,13.0,101.92307692307692
188,0.0,0.0,7.0,468.3636363636364
189,0.0,0.0,20.0,579.421052631579
190,0.0,0.0,22.0,53.18518518518518
191,0.0,0.0,19.0,7.75
192,0.0,0.0,44.0,229.11764705882354
193,0.0,0.0,23.0,46.857142857142854
194,0.0,0.0,29.0,1234.0689655172414
195,0.0,0.0,20.0,342.7142857142857
196,0.0,0.0,26.0,295.5625
197,0.0,0.0,62.0,240.6
198,0.0,0.0,24.0,483.9
199,0.0,0.0,54.0,258.3
200,0.0,0.0,28.0,384.0
201,0.0,0.0,23.0,6.363636363636363
202,0.0,0.0,4.0,1043.85
203,0.0,0.0,45.0,3820.0344827586205
204,0.0,0.0,22.0,203.76190476190476
205,0.0,0.0,41.0,809.5833333333334
206,0.0,0.0,20.0,13157.5
207,0.0,0.0,8.0,84.23809523809524
208,0.0,0.0,25.0,5769.2
209,0.0,0.0,12.0,155.4
210,0.0,0.0,25.0,2938.125
211,0.0,0.0,22.0,4.5
212,0.0,0.0,7.0,397.55
213,0.0,0.0,17.0,66.61538461538461
214,0.0,0.0,9.0,3.789473684210526
215,0.0,0.0,18.0,276.0
216,0.0,0.0,16.0,5866.666666666667
217,0.0,0.0,6.0,328.375
218,0.0,0.0,14.0,144.92307692307693
219,0.0,0.0,21.0,3429.0
220,0.0,0.0,25.0,744.32
221,0.0,0.0,19.0,1499.5714285714287
222,0.0,0.0,26.0,3464.0
223,0.0,0.0,26.0,2043.2222222222222
224,0.0,0.0,19.0,129.4
225,0.0,0.0,32.0,2596.0
226,0.0,0.0,88.0,1085.0
227,0.0,0.0,27.0,97.17647058823529
228,0.0,0.0,41.0,69.92307692307692
229,0.0,0.0,26.0,10.714285714285714
230,0.0,0.0,28.0,2048.4545454545455
231,0.0,0.0,40.0,60.56521739130435
232,0.0,0.0,35.5,218.25
233,0.0,0.0,27.0,171.88
234,0.0,0.0,24.0,225.5
235,0.0,0.0,16.0,22.2
236,0.0,0.0,18.0,1851.4
237,0.0,0.0,29.0,8.6
238,0.0,0.0,29.0,163.58333333333334
239,0.0,0.0,23.0,855.1875
240,0.0,0.0,18.0,2.8181818181818183
241,0.0,0.0,36.0,1.7142857142857142
242,0.0,0.0,22.0,1002.1666666666666
243,0.0,0.0,19.0,11.5
244,0.0,0.0,32.0,3.857142857142857
245,0.0,0.0,6.0,52.25
