scenario,agent,n_episodes,wall_time_s,mean_reward,total_reward,bid_acceptance_rate,total_reg_revenue,total_elec_cost,mean_perf_score,mean_committed_mw,tracking_rmse,temp_A_max,temp_B_max,episode_length,mean_flex_kw,mean_bess_kw,mean_cool_delta_kw,mean_p_pump_mw,mean_p_hvac_mw,mean_inner_throttle,mean_inner_pump,mean_inner_hvac,mean_inner_bess,survival_rate,mean_reward_std,total_reward_std,bid_acceptance_rate_std,total_reg_revenue_std,total_elec_cost_std,mean_perf_score_std,mean_committed_mw_std,tracking_rmse_std,temp_A_max_std,temp_B_max_std,episode_length_std,mean_flex_kw_std,mean_bess_kw_std,mean_cool_delta_kw_std,mean_p_pump_mw_std,mean_p_hvac_mw_std,mean_inner_throttle_std,mean_inner_pump_std,mean_inner_hvac_std,mean_inner_bess_std
default,rule_macro,5,9.62,0.6521,62.5978,0.6375,5209.3064,246.8923,0.7995,11.375,2758.8373,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.7,0.7,0.0,1.0,0.0362,3.4749,0.0356,117.5714,0.0,0.0186,0.3563,256.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+bang_bang,5,9.09,0.7291,69.9934,0.6375,5984.9343,246.6652,0.8765,11.375,1254.8533,30.5949,29.9481,96.0,357.613,-102.149,-549.869,1.0471,34.903,0.9691,0.6981,0.6981,0.0065,1.0,0.091,8.7313,0.0356,242.618,1.1647,0.0139,0.3563,124.2532,0.0248,0.0,0.0,64.6456,174.3949,389.2769,0.0113,0.3779,0.0048,0.0076,0.0076,0.0398
default,rule_macro+rule_based,5,9.26,0.9252,88.822,0.6375,6176.8342,247.1588,0.936,11.375,640.3698,30.5838,29.9481,96.0,51.4205,-81.8092,-368.0351,1.0524,35.0796,0.9958,0.7016,0.7016,-0.0034,1.0,0.0253,2.4313,0.0356,246.8967,0.8418,0.007,0.3563,123.6491,0.018,0.0,0.0,33.2443,148.3351,272.4119,0.0079,0.2645,0.0022,0.0053,0.0053,0.0297
default,rule_macro+pid,5,10.07,0.8989,86.2933,0.6375,6172.8546,246.5988,0.9369,11.375,715.8285,30.5878,29.9481,96.0,71.8778,-48.0687,-549.5948,1.0471,34.9033,0.994,0.6981,0.6981,0.0066,1.0,0.0563,5.4054,0.0356,223.873,1.1415,0.0057,0.3563,181.2262,0.0251,0.0,0.0,72.7829,162.2109,373.0792,0.0109,0.3622,0.0057,0.0072,0.0072,0.0409
default,rule_macro,5,8.96,0.6521,62.5978,0.6375,5209.3064,246.8923,0.7995,11.375,2758.8373,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.7,0.7,0.0,1.0,0.0362,3.4749,0.0356,117.5714,0.0,0.0186,0.3563,256.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+sac,5,41.63,1.0051,96.4929,0.6375,6379.7489,248.4274,0.9846,11.375,194.2529,30.8393,29.9483,96.0,326.9582,-197.967,74.2738,0.7142,35.8601,0.9708,0.4748,0.7172,-0.0377,1.0,0.0016,0.1539,0.0356,238.1217,1.4962,0.0014,0.3563,37.9269,0.0781,0.0,0.0,4.2574,39.1967,481.4681,0.0262,0.5042,0.0004,0.0179,0.0101,0.0061
default,rule_macro,5,8.62,0.6521,62.5978,0.6375,5209.3064,246.8923,0.7995,11.375,2758.8373,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.7,0.7,0.0,1.0,0.0362,3.4749,0.0356,117.5714,0.0,0.0186,0.3563,256.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+sac,5,41.79,1.0076,96.7311,0.6375,6401.1109,248.4736,0.9867,11.375,144.8853,30.8513,29.9484,96.0,347.4976,-181.3364,74.6915,0.6712,35.9035,0.9689,0.4471,0.7181,-0.0363,1.0,0.0042,0.407,0.0356,247.6095,1.6501,0.0012,0.3563,14.4111,0.0699,0.0,0.0,5.6889,23.2946,539.7583,0.0318,0.5368,0.0005,0.0215,0.0107,0.0047
default,rule_macro,5,9.69,0.6521,62.5978,0.6375,5209.3064,246.8923,0.7995,11.375,2758.8373,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.7,0.7,0.0,1.0,0.0362,3.4749,0.0356,117.5714,0.0,0.0186,0.3563,256.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+sac,5,42.02,0.9976,95.7711,0.6375,6388.7506,249.2724,0.9822,11.375,179.5065,30.8063,29.9488,96.0,367.0666,67.3072,334.0776,0.7323,36.1017,0.9679,0.4881,0.722,0.0137,1.0,0.0046,0.4382,0.0356,244.6158,1.5168,0.0022,0.3563,20.0039,0.0575,0.0,0.0,8.341,48.3863,489.5399,0.0285,0.5096,0.0007,0.019,0.0102,0.0097
