scenario,agent,n_episodes,wall_time_s,mean_reward,total_reward,tracking_rmse,thermal_viol_rate,throughput_ratio,bess_degradation,episode_length,cumul_p_pump_mw,cumul_p_hvac_mw,cumul_flex_reduction_kw,cumul_bess_actual_kw,survival_rate,mean_reward_std,total_reward_std,tracking_rmse_std,thermal_viol_rate_std,throughput_ratio_std,bess_degradation_std,episode_length_std,cumul_p_pump_mw_std,cumul_p_hvac_mw_std,cumul_flex_reduction_kw_std,cumul_bess_actual_kw_std
default,rule_based,5,9.26,0.8064,13933.7699,500.8545,0.0,0.0,0.0,17280.0,18162.0074,605400.2478,95525.2565,-1256793.8847,1.0,0.0217,375.486,76.0125,0.0,0.0,0.0,0.0,24.1854,806.1784,33285.3405,1295652.2484
default,bang_bang,5,9.16,0.4733,8178.5813,1634.1354,0.0,0.0,0.0,17280.0,18158.5099,605283.6648,7201139.9902,-439931.7383,1.0,0.0411,710.6906,180.5694,0.0,0.0,0.0,0.0,121.9644,4065.4795,1044375.4343,3477413.1131
default,pid,5,9.68,0.8172,14121.5283,477.8665,0.0,0.0,0.0,17280.0,18150.8977,605029.9247,0.0,-789045.7917,1.0,0.017,293.3766,66.5533,0.0,0.0,0.0,0.0,15.4245,514.1504,0.0,2503218.4823
default,random,5,10.42,-6.8909,-119074.4178,22494.3701,0.0,0.0,0.0,17280.0,13212.5574,432632.7599,99008504.5254,-49119.5442,1.0,0.0578,998.0642,172.4324,0.0,0.0,0.0,0.0,88.5277,1404.5763,544650.4502,415908.718
scenario_a,rule_based,5,8.75,0.7864,13588.41,760.7139,0.0032,0.0,0.0,17280.0,18171.1889,605706.2952,236153.503,-911970.4011,1.0,0.0081,140.6958,12.6133,0.0,0.0,0.0,0.0,12.7658,425.5266,18724.015,1280658.6433
scenario_a,bang_bang,5,8.57,0.5843,10097.396,1557.4777,0.0029,0.0,0.0,17280.0,25321.045,606373.4169,5517040.4709,366895.5234,1.0,0.0415,716.3848,125.5806,0.0,0.0,0.0,0.0,78.0175,4094.7921,877311.8661,3351670.7614
scenario_a,pid,5,9.32,0.7997,13819.3194,570.9612,0.0045,0.0,0.0,17280.0,18145.0909,604836.3629,0.0,-469883.8654,1.0,0.0259,447.4627,85.4851,0.0,0.0,0.0,0.0,2.44,81.333,0.0,2547716.103
scenario_a,random,5,10.37,-6.8792,-118873.3543,22454.0697,0.0069,0.0,0.0,17280.0,13251.1147,433636.3292,98852053.0995,59455.321,1.0,0.0799,1381.2804,222.1094,0.0005,0.0,0.0,0.0,61.9881,1999.2636,340934.8068,500515.4705
scenario_b,rule_based,5,8.81,0.7296,12608.0732,927.2083,0.0034,0.0,0.0,17280.0,18165.2516,605508.3872,192135.0383,-497158.4052,1.0,0.0264,456.0997,59.304,0.0,0.0,0.0,0.0,4.01,133.6672,0.0,1387991.9854
scenario_b,bang_bang,5,9.05,0.5695,9840.7244,1578.2538,0.003,0.0,0.0,17280.0,25502.9722,606084.2359,3840431.4869,695592.117,1.0,0.0325,561.0176,83.1897,0.0,0.0,0.0,0.0,64.4966,3956.0235,685439.5069,3368871.3312
scenario_b,pid,5,9.76,0.7419,12820.4079,760.882,0.0048,0.0,0.0,17280.0,18143.9997,604799.9897,0.0,-313226.292,1.0,0.032,552.5214,91.4826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003817.5385
scenario_b,random,5,10.97,-6.9208,-119590.9325,22523.8519,0.0077,0.0,0.0,17280.0,13278.397,431646.0175,98613040.1045,128102.0009,1.0,0.0221,381.4952,78.9293,0.0003,0.0,0.0,0.0,59.393,2339.5266,342330.5684,665881.0822
scenario_c,rule_based,5,9.21,0.7502,12963.1867,976.9069,0.0064,0.0,0.0,17280.0,18179.8919,605996.3965,431985.6394,-3894430.1343,1.0,0.0039,67.5777,16.9362,0.0,0.0,0.0,0.0,3.672,122.3991,24123.7614,655472.141
scenario_c,bang_bang,5,9.28,0.5469,9450.7184,1761.8298,0.0057,0.0,0.0,17280.0,25269.2007,604080.5751,5957420.7041,-3965298.8199,1.0,0.0559,965.6494,103.9248,0.0001,0.0,0.0,0.0,81.3916,4219.9944,879313.0081,3361256.432
scenario_c,pid,5,10.05,0.7819,13511.1181,577.485,0.0091,0.0,0.0,17280.0,18136.1775,604539.2514,71095.2716,-1749525.5501,1.0,0.0109,189.0167,16.8107,0.0,0.0,0.0,0.0,14.8896,496.3211,124031.7786,976957.2046
scenario_c,random,5,11.04,-6.8693,-118702.2864,22365.3312,0.0147,0.0,0.0,17280.0,13253.2865,433768.7091,99280289.9265,-1819321.1534,1.0,0.0762,1315.9913,201.8627,0.0009,0.0,0.0,0.0,27.2018,1254.615,349730.8479,80220.8451
